Code,Region,Low_SES_Percent,Internet_NoAccess,Housing_Unsuitable,Unemployment_Rate,Education_Level_Low,English_Proficiency_Low,Aboriginal_Percent,Senior_65Plus_Percent,Elderly_70_PermInstitution,Year
PHA020032,Bulleen/ Doncaster,0.0,15.03604531,3.6090101940151267,7.3,40.1,19.07404093,0.24813153961136025,21.998090236333255,0.0,2017-2018
PHA020033,Doncaster East,0.0,10.12238125,3.7372147915027534,7.32,41.3,18.81829219,0.12364657131399547,19.387755102040817,5.114638447971781,2017-2018
PHA020034,Templestowe/ Templestowe Lower,0.0,9.847878303,2.147924968412868,6.14,40.9,15.79361954,0.1813236627379873,22.58790436005626,14.622641509433961,2017-2018
PHA020035,Blackburn/ Blackburn South,0.0,11.7600071,3.402646502835539,6.22,46.4,18.99417681,0.24463007159904535,18.09267049831131,7.828073089700998,2017-2018
PHA020036,Box Hill/ Box Hill North,53.05369038,11.38475151,6.7968694916449275,8.08,46.6,25.3253562,0.2060806513166264,13.965727651784807,3.376318874560375,2017-2018
PHA020037,Burwood/ Burwood East,100.0,14.92766611,5.7673509286412505,11.25,44.1,18.83980841,0.27458600878675227,17.840296495956874,2.4803387779794313,2017-2018
PHA020038,Surrey Hills (East) - Mont Albert,0.0,7.517730496,2.548476454293629,4.83,57.5,16.97600724,0.1434583014537108,15.087281795511224,11.071744906997342,2017-2018
PHA020039,Beaumaris/ Sandringham - Black Rock,0.0,8.711552888,1.06724593879864,4.3,46.4,9.497206704,0.25183366386501715,20.207171819564117,6.30979035212701,2017-2018
PHA020040,Brighton (Vic.)/ Brighton East,0.0,8.385298217,1.4682012689980817,4.99,51.8,11.82779456,0.16556694504638308,19.969266793502122,10.74234407567741,2017-2018
PHA020041,Cheltenham - Highett (West),0.0,11.28791646,2.878228782287823,4.8,39.9,15.07643648,0.29660647300008725,15.027537372147915,9.282371294851794,2017-2018
PHA020042,Hampton,0.0,11.08284306,2.070626003210273,4.88,46.9,13.34102268,0.3170168180108538,15.284005979073243,0.0,2017-2018
PHA020043,Bentleigh - McKinnon/ Bentleigh East,0.0,11.89170665,3.429694078024137,5.79,42.1,14.55572876,0.2422636509889278,15.088890555847273,3.7910836316303285,2017-2018
PHA020044,Carnegie/ Ormond - Glen Huntly,0.0,10.58239792,7.3477127281346295,7.11,51.7,13.74057667,0.17798962229998794,11.960353086494141,5.746367239101717,2017-2018
PHA020045,Caulfield - North/ Caulfield - South,0.0,9.091570825,4.2048595955186965,5.4,53.4,10.6128266,0.17452864973820703,17.07449032289797,12.995814231612519,2017-2018
PHA020046,Elsternwick,0.0,10.44776119,3.7374658158614404,4.12,53.8,11.8925326,0.2477291494632535,14.028687505181992,6.799083269671505,2017-2018
PHA020047,Hughesdale,0.0,14.0428677,6.234502302515055,6.95,46.3,17.86707883,0.1368499626772829,13.046738315421145,5.095541401273886,2017-2018
PHA020048,Murrumbeena,0.0,11.05174353,5.282079646017699,6.76,50.3,12.50408097,0.14272606789682946,12.178896735236926,13.797169811320757,2017-2018
PHA020049,Kingston - Central,0.0,10.61844435,2.2483358239369653,4.73,33.4,12.30573608,0.4973535316663624,14.056179004868238,6.579804560260587,2017-2018
PHA020050,Carrum - Patterson Lakes,0.0,13.25878594,1.9122609673790776,4.75,22.4,11.41367323,0.594500866980431,17.391304347826086,0.0,2017-2018
PHA020051,Chelsea - Bonbeach/ Chelsea Heights,0.0,14.70664928,2.7694708100377063,5.22,25.0,12.92328956,0.6185263364586913,17.60220396516948,11.497326203208557,2017-2018
PHA020052,Kingston - North,0.0,13.36085682,3.3240833677746946,5.54,35.1,15.36477524,0.43106235316938596,17.719987904445116,6.542938030827304,2017-2018
PHA020053,Malvern - Glen Iris/ Malvern East,0.0,8.609965298,3.78970712934577,6.01,56.7,12.48847454,0.24472245728792627,15.225529583637693,10.094824180165944,2017-2018
PHA020054,Bundoora - East/ Watsonia,52.06459418,14.017991,3.386886669561442,6.0,28.1,16.95241765,0.7411515579308259,18.080716586151368,2.845821325648415,2017-2018
PHA020055,Greensborough/ Montmorency - Briar Hill,0.0,9.652127579,1.6828918572183234,4.54,33.9,10.78191134,0.5689564761405349,16.605079015645885,5.374945817078457,2017-2018
PHA020056,Heidelberg - Rosanna/ Viewbank - Yallambie,0.0,12.38478297,2.3911964256164158,5.46,43.3,13.31511128,0.5412445730824891,18.33391023422176,8.306122448979592,2017-2018
PHA020057,Heidelberg West,0.0,18.18542783,7.919075144508671,9.33,31.3,16.90677966,1.6547345670674052,13.995956873315363,8.763586956521738,2017-2018
PHA020058,Ivanhoe,0.0,10.10737628,3.005780346820809,5.34,53.3,13.05114638,0.3917319553258876,14.277408637873753,12.753858651502844,2017-2018
